doctorName,specialty,StartWorkingDate
Nguyễn Quốc Hùng,Tim mạch,8/18/2019
Hoàng Quỳnh Lan,Răng Hàm Mặt,6/13/2016
Đặng Anh Sơn,Răng Hàm Mặt,6/6/2021
Phạm Thị Diệp,Răng Hàm Mặt,8/21/2022
Phan Quốc Sơn,Răng Hàm Mặt,9/15/2018
Vũ Quốc Sơn,Răng Hàm Mặt,11/22/2023
Hoàng Văn Bình,Răng Hàm Mặt,12/24/2018
Hoàng Mai Lan,Răng Hàm Mặt,12/22/2016
Lê Quốc Bách,Răng Hàm Mặt,5/20/2024
Lê Quỳnh Trúc,Răng Hàm Mặt,8/26/2020
Trần Quỳnh Chi,Nội tiết,2/11/2025
Vũ Thị Hạnh,Nội tiết,5/8/2017
Vũ Quốc Tùng,Nội tiết,1/31/2021
Trần Huyền Trúc,Nội tiết,9/3/2018
Lê Ngọc Trúc,Nội tiết,5/14/2021
Hoàng Văn Long,Nội tiết,6/16/2019
Phạm Văn Khoa,Thần kinh,12/4/2022
Lê Quỳnh Hạnh,Thần kinh,12/9/2017
Nguyễn Anh Hùng,Thần kinh,7/17/2019
Hoàng Huyền Chi,Thần kinh,1/21/2017
Phan Huyền Trúc,Thần kinh,12/19/2019
Phan Hữu Sơn,Thần kinh,6/13/2023
Phan Anh Bách,Mắt,5/18/2016
Trần Hữu Khoa,Mắt,12/21/2022
Nguyễn Ngọc Chi,Mắt,11/12/2016
Đặng Minh Bách,Mắt,7/10/2017
Hoàng Quốc Hùng,Mắt,5/10/2017
Phan Mai Thảo,Mắt,6/29/2017
Phan Anh Bách,Mắt,5/2/2023
Phan Huyền Trúc,Hô hấp,6/2/2022
Nguyễn Đức Khoa,Hô hấp,6/9/2018
Lê Minh Hùng,Hô hấp,10/2/2024
Phan Ngọc Trúc,Hô hấp,8/5/2022
Phạm Ngọc Hạnh,Hô hấp,3/3/2025
Vũ Mai Thảo,Hô hấp,7/23/2020
Lê Hữu Tùng,Chẩn đoán hình ảnh,7/21/2019
Nguyễn Đức Sơn,Chẩn đoán hình ảnh,8/7/2023
Lê Quỳnh Trúc,Chẩn đoán hình ảnh,9/4/2019
Hoàng An Trúc,Chẩn đoán hình ảnh,3/9/2018
Đặng Anh Tùng,Chẩn đoán hình ảnh,1/29/2022
Nguyễn Văn Khoa,Chẩn đoán hình ảnh,1/23/2022
Phạm Đức Tùng,Phục hồi chức năng,5/28/2021
Nguyễn Huyền Lan,Phục hồi chức năng,12/25/2017
Phan Đức Khoa,Phục hồi chức năng,10/22/2016
Lê Mai Hương,Phục hồi chức năng,4/22/2016
Phạm Ngọc Hạnh,Phục hồi chức năng,4/26/2020
Phan Huyền Lan,Y học cổ truyền,5/19/2017
Hoàng Hữu Tuấn,Y học cổ truyền,10/24/2020
Vũ Thị Hương,Y học cổ truyền,11/1/2017
Phan Huyền Hương,Y học cổ truyền,3/3/2023
Đặng Quốc Hùng,Y học cổ truyền,1/16/2019
Phan Huyền Chi,Tâm lý lâm sàng,3/5/2017
Phan An Chi,Tâm lý lâm sàng,5/16/2018
Hoàng Minh Khoa,Tâm lý lâm sàng,9/12/2024
Đặng Ngọc Thảo,Tâm lý lâm sàng,9/17/2020
Đặng Hữu Hùng,Dinh dưỡng,8/29/2018
Vũ Quốc Bách,Dinh dưỡng,3/27/2025
Nguyễn Đức Sơn,Dinh dưỡng,12/31/2022
Vũ Văn Bình,Dinh dưỡng,9/1/2021
Đặng Văn Sơn,Dinh dưỡng,11/27/2020
Trần Minh Long,Dinh dưỡng,12/30/2024
